,Date,Open,High,Low,Close,Volume
1308,2005-03-17,2123.95,2126.55,2090.45,2098.5,62045976.0
1309,2005-03-18,2097.75,2112.25,2077.2,2109.15,83945077.0
1310,2005-03-21,2117.95,2124.8,2089.35,2096.6,62125033.0
1311,2005-03-22,2096.75,2099.0,2056.5,2061.6,57631155.0
1312,2005-03-23,2061.2,2067.45,2019.85,2026.4,91449560.0
1313,2005-03-24,2026.6,2042.45,2007.35,2015.4,70928621.0
1314,2005-03-28,2015.75,2046.85,2015.25,2029.45,51850957.0
1315,2005-03-29,2029.4,2032.65,1971.55,1983.85,69687568.0
1316,2005-03-30,1983.65,2000.45,1971.15,1993.7,69953686.0
1317,2005-03-31,1994.5,2043.6,1994.5,2035.65,91752570.0
1318,2005-04-01,2035.9,2071.2,2024.25,2067.65,63209440.0
1319,2005-04-04,2067.65,2076.6,2054.9,2063.4,64426298.0
1320,2005-04-05,2063.2,2077.95,2043.7,2052.55,54691988.0
1321,2005-04-06,2054.0,2073.1,2051.3,2069.3,53943729.0
1322,2005-04-07,2069.15,2084.9,2048.05,2052.85,48150317.0
1323,2005-04-08,2053.05,2057.5,2024.8,2031.2,42153310.0
1324,2005-04-11,2032.75,2033.0,2001.85,2008.2,38487508.0
1325,2005-04-12,2002.75,2027.8,2002.75,2024.95,35572259.0
1326,2005-04-13,2024.9,2038.85,2018.1,2025.45,44910337.0
1327,2005-04-15,2022.5,2022.5,1952.75,1956.3,64717231.0
1328,2005-04-18,1955.5,1959.25,1914.85,1927.8,70752264.0
1329,2005-04-19,1927.9,1961.15,1902.8,1909.4,61369260.0
1330,2005-04-20,1908.5,1941.85,1902.9,1929.7,74597233.0
1331,2005-04-21,1930.5,1950.0,1911.4,1948.55,58531700.0
1332,2005-04-22,1950.6,1972.95,1950.0,1967.35,55286066.0
1333,2005-04-25,1968.45,1974.2,1952.4,1970.95,53653518.0
1334,2005-04-26,1971.05,1972.85,1951.8,1957.1,51302647.0
1335,2005-04-27,1959.45,1962.2,1930.35,1935.4,62035956.0
1336,2005-04-28,1935.65,1950.25,1921.05,1941.3,82325185.0
1337,2005-04-29,1943.2,1943.2,1896.3,1902.5,64304715.0
1338,2005-05-02,1903.1,1925.6,1898.15,1916.75,60560833.0
1339,2005-05-03,1916.95,1940.1,1911.0,1920.7,51921972.0
1340,2005-05-04,1920.5,1944.45,1920.15,1942.6,48177637.0
1341,2005-05-05,1942.6,1973.35,1942.05,1963.3,53020698.0
1342,2005-05-06,1962.3,1984.4,1947.3,1977.5,52715637.0
1343,2005-05-09,1978.05,2003.15,1978.05,2000.75,51489665.0
1344,2005-05-10,2001.0,2007.8,1989.1,1994.3,56034583.0
1345,2005-05-11,1990.55,1991.85,1975.05,1985.95,44567833.0
1346,2005-05-12,1985.95,1999.85,1981.95,1993.15,36125196.0
1347,2005-05-13,1992.5,1992.75,1978.9,1988.3,36652241.0
1348,2005-05-16,1991.5,2014.95,1989.7,2012.6,38016370.0
1349,2005-05-17,2013.1,2024.6,1984.75,1990.8,48666725.0
1350,2005-05-18,1990.65,1990.95,1964.65,1982.75,51569522.0
1351,2005-05-19,1983.15,2008.35,1983.15,1990.85,42626009.0
1352,2005-05-20,1991.85,1998.2,1975.95,1992.4,41636877.0
1353,2005-05-23,1992.1,2019.35,1991.7,2013.9,37691431.0
1354,2005-05-24,2016.0,2031.9,2009.55,2028.6,56757502.0
1355,2005-05-25,2028.55,2047.45,2019.0,2043.85,76579699.0
1356,2005-05-26,2043.5,2078.65,2025.65,2074.7,88187689.0
1357,2005-05-27,2073.25,2099.35,2069.5,2076.4,73791013.0
1358,2005-05-30,2076.55,2086.85,2064.85,2072.4,54670426.0
1359,2005-05-31,2072.5,2091.75,2066.55,2087.55,45872849.0
1360,2005-06-01,2087.8,2097.6,2081.2,2087.55,58896370.0
1361,2005-06-02,2087.85,2093.45,2062.55,2064.65,50472017.0
1362,2005-06-03,2064.1,2097.25,2061.35,2094.25,52180109.0
1363,2005-06-04,2094.1,2098.1,2087.0,2092.35,22469509.0
1364,2005-06-06,2092.0,2109.1,2087.4,2092.8,42744602.0
1365,2005-06-07,2091.95,2102.85,2084.35,2098.15,36007293.0
1366,2005-06-08,2094.7,2115.25,2094.05,2112.4,49625237.0
1367,2005-06-09,2112.25,2118.65,2097.55,2103.2,53924493.0
1368,2005-06-10,2103.45,2133.1,2086.3,2090.6,49033630.0
1369,2005-06-13,2090.7,2106.65,2081.7,2102.75,38787661.0
1370,2005-06-14,2103.65,2113.85,2098.7,2112.35,38606690.0
1371,2005-06-15,2110.5,2131.95,2110.35,2128.65,44576500.0
1372,2005-06-16,2128.3,2135.1,2114.55,2123.7,65288983.0
1373,2005-06-17,2123.6,2131.75,2103.9,2123.4,43861852.0
1374,2005-06-20,2130.8,2150.25,2124.65,2144.35,92370554.0
1375,2005-06-21,2144.75,2173.25,2140.15,2170.0,68986654.0
1376,2005-06-22,2167.8,2196.45,2167.35,2187.35,87458824.0
1377,2005-06-23,2187.35,2192.1,2174.05,2183.85,62648424.0
1378,2005-06-24,2184.0,2204.45,2162.95,2194.35,57555948.0
1379,2005-06-27,2194.35,2219.65,2188.15,2199.8,93011396.0
1380,2005-06-28,2199.8,2206.8,2165.9,2169.85,73416302.0
1381,2005-06-29,2170.2,2194.25,2162.0,2191.65,58638570.0
1382,2005-06-30,2191.55,2226.15,2189.45,2220.6,82212701.0
1383,2005-07-01,2220.45,2220.55,2198.9,2211.9,54585383.0
1384,2005-07-04,2212.05,2232.2,2211.4,2230.65,49155821.0
1385,2005-07-05,2231.2,2238.6,2205.1,2210.75,55515957.0
1386,2005-07-06,2211.35,2232.65,2211.3,2228.2,51427929.0
1387,2005-07-07,2228.3,2235.8,2171.25,2179.4,60514945.0
1388,2005-07-08,2183.55,2210.7,2179.05,2196.2,48318799.0
1389,2005-07-11,2195.55,2224.65,2195.55,2218.85,54405573.0
