,Date,Open,High,Low,Close,Adj Close,Volume
1052,2009-04-20,8899.589844,8933.799805,8813.719727,8924.75,8924.75,167900.0
1053,2009-04-21,8802.089844,8802.089844,8612.759766,8711.330078,8711.330078,175400.0
1054,2009-04-22,8777.530273,8802.900391,8683.269531,8727.299805,8727.299805,195000.0
1055,2009-04-23,8776.94043,8860.549805,8647.799805,8847.009766,8847.009766,186200.0
1056,2009-04-24,8832.099609,8852.830078,8694.919922,8707.990234,8707.990234,212200.0
1057,2009-04-27,8783.339844,8840.530273,8648.509766,8726.339844,8726.339844,152300.0
1058,2009-04-28,8678.280273,8808.639648,8493.769531,8493.769531,8493.769531,169600.0
1059,2009-04-30,8615.450195,8844.769531,8615.450195,8828.259766,8828.259766,174900.0
1060,2009-05-01,8848.839844,9017.320313,8827.129883,8977.370117,8977.370117,154800.0
1061,2009-05-07,9102.349609,9385.700195,9100.110352,9385.700195,9385.700195,238900.0
1062,2009-05-08,9351.400391,9464.429688,9349.570313,9432.830078,9432.830078,220100.0
1063,2009-05-11,9460.719727,9503.910156,9342.75,9451.980469,9451.980469,230800.0
1064,2009-05-12,9358.25,9389.610352,9298.610352,9298.610352,9298.610352,188300.0
1065,2009-05-13,9305.790039,9379.469727,9278.889648,9340.490234,9340.490234,176000.0
1066,2009-05-14,9212.299805,9223.769531,9052.410156,9093.730469,9093.730469,169300.0
1067,2009-05-15,9150.209961,9272.080078,9140.900391,9265.019531,9265.019531,171900.0
1068,2009-05-18,9167.049805,9167.820313,8997.740234,9038.69043,9038.69043,147700.0
1069,2009-05-19,9172.55957,9326.75,9166.969727,9290.290039,9290.290039,167000.0
1070,2009-05-20,9372.719727,9399.400391,9311.610352,9344.639648,9344.639648,143200.0
1071,2009-05-21,9280.349609,9286.349609,9189.919922,9264.150391,9264.150391,133200.0
1072,2009-05-22,9156.139648,9267.820313,9126.69043,9225.80957,9225.80957,134700.0
1073,2009-05-25,9245.950195,9402.759766,9245.950195,9347.0,9347.0,129200.0
1074,2009-05-26,9364.219727,9379.780273,9231.929688,9310.80957,9310.80957,121200.0
1075,2009-05-27,9426.620117,9491.129883,9411.540039,9438.769531,9438.769531,148900.0
1076,2009-05-28,9353.330078,9492.660156,9353.330078,9451.389648,9451.389648,155700.0
1077,2009-05-29,9478.209961,9522.5,9426.519531,9522.5,9522.5,175800.0
1078,2009-06-01,9517.490234,9691.730469,9491.259766,9677.75,9677.75,177600.0
